TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,100,248,248,17730,5932.11,1561.318,2116.97,345.3002,1323.371,469.6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,20,KMeans,143,404,404,29041,8874.533,2528.352,3134.922,606.3002,1917.136,772.5805,1,6,6,81304,363.4988,322.1615,21.90031,3.719997,325.0599,316.1248,0,0,0,0,0,0,0,0,0,0,6,36,36,790547,3212.418,3027.465,104.8813,35.29999,3009.032,2974.544
200,20,KMeans,181,519,519,34531,10991.37,3302.783,3802.934,905.1606,2370.48,966.7406,9,47,47,6832,691.1322,321.0256,187.5626,56.07997,267.1444,176.8623,0,0,0,0,0,0,0,0,0,0,10,79,79,1572136,4998.93,4306.981,168.402,51.33996,4667.587,4236.445
250,20,KMeans,235,701,701,51302,14360.15,4436.357,4878.987,1199.041,3107.507,1376.382,1,5,5,1032,103.7946,26.84042,57.62113,4.679996,17.50021,8.820012,0,0,0,0,0,0,0,0,0,0,14,182,182,3160358,6662.078,6119.277,299.2443,70.97997,6113.479,6030.701
300,20,KMeans,300,872,872,60543,18571.38,4786.476,6945.885,1689.601,3923.114,1525.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,25,KMeans,94,208,208,14430,5238.821,1483.678,1537.88,325.5601,1228.31,421.2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,30,731567,3303.444,3107.938,108.9814,30.25998,3097.886,3059.344
150,25,KMeans,147,380,380,29078,8250.135,2444.449,2605.792,616.7201,1923.316,732.4004,3,12,12,2045,199.8197,109.8419,50.92063,10.71999,63.04087,46.36049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,25,KMeans,185,527,527,38102,10871.52,3547.328,3484.347,876.8406,2458.642,1015.861,8,49,49,49531,746.7848,398.1946,163.5222,28.81998,364.7554,304.495,0,0,0,0,0,0,0,0,0,0,7,62,62,857572,3263.734,3069.85,89.26077,33.41998,3062.681,3018.897
250,25,KMeans,241,709,709,53213,14576.81,4230.034,4961.371,1217.84,3216.23,1334.981,4,32,32,193829,850.3176,719.83,61.02063,18.73999,684.1133,662.6384,0,0,0,0,0,0,0,0,0,0,5,40,40,595853,2627.621,2446.787,90.98114,21.83998,2449.222,2419.874
300,25,KMeans,292,816,816,52269,17307.42,5017.94,5772.959,1486.98,3826.493,1513.761,6,31,31,11840,426.6405,259.3643,91.58108,25.53998,176.0429,147.7022,0,0,0,0,0,0,0,0,0,0,2,11,11,53186,1058.563,1005.551,30.0004,10.51999,991.63,977.7965
