TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,88,195,195,12796,5318.339,1251.914,1870.307,231.9599,1133.749,372.88,4,33,33,133701,565.9588,456.3122,65.54074,30.08006,397.4718,381.3532,0,0,0,0,0,0,0,0,0,0,8,80,80,1336585,4129.808,3807.731,172.7224,41.89997,3819.547,3765.836
150,20,KMeans,150,408,408,29086,9138.195,2482.97,3243.087,684.0801,1957.316,734.5594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,20,KMeans,200,550,550,37719,11927.12,3261.26,4374.522,956.4211,2602.183,1042.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,248,679,679,49610,15341.94,4066.947,5537.162,1296.28,3228.569,1333.021,2,7,7,1411,177.3343,49.00074,81.8615,7.879994,42.28059,23.82017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,20,KMeans,299,792,792,53505,18211.44,4617.211,6855.885,1443.5,3898.411,1521.381,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14.32014,12.26009,1.799999,1.799999,6.259995,6.259995,0,0,0,0,0,0,0,0,0,0
100,25,KMeans,83,197,197,13906,4838.095,1181.573,1585.743,269.8399,1096.849,375.9001,4,19,19,12466,379.1667,179.1029,113.5219,17.43999,148.0626,110.4018,0,0,0,0,0,0,0,0,0,0,13,88,88,1698542,6812.942,6365.924,223.3628,66.36002,6381.829,6281.901
150,25,KMeans,130,322,322,22484,7423.343,2179.267,2269.349,475.5798,1730.155,653.621,5,44,44,183315,884.7231,665.2157,126.0019,29.56005,617.456,580.6909,0,0,0,0,0,0,0,0,0,0,15,126,126,2294419,7783.772,7074.54,466.0479,89.10014,7075.663,6954.14
200,25,KMeans,191,502,502,31743,11264.93,2875.03,3723.01,823.9998,2471.921,871.3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,72,72,1626103,4693.337,4470.172,122.4013,43.08007,4421.051,4369.339
250,25,KMeans,250,672,672,44846,14284.15,4080.447,4481.676,1164.46,3276.107,1278.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,25,KMeans,285,812,812,54977,17102.91,5100.804,5704.816,1521.062,3762.614,1512.501,2,15,15,21420,209.3889,113.678,68.66119,16.16003,90.83993,78.78016,0,0,0,0,0,0,0,0,0,0,13,167,167,2653699,6155.339,5681.877,294.2843,81.64011,5641.459,5570.474
