TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,96,174,174,11774,4231.457,790.5847,2030.342,367.9202,1231.29,348.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,321035,2304.999,2223.78,45.12029,13.11999,2219.616,2192.249
150,20,KMeans,142,294,294,20079,6428.186,1365.65,3158.848,591.0403,1834.795,602.0804,1,1,1,52,45.22084,4.579997,8.920014,0,26.20041,4.519997,0,0,0,0,0,0,0,0,0,0,7,31,31,763574,3952.079,3171.364,117.4414,25.57998,3764.148,3145.772
200,20,KMeans,176,396,396,26312,8064.908,1783.172,4014.838,820.3405,2271.379,780.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,182,182,4330282,12999.41,12278.65,486.7268,125,12271.08,12114.46
250,20,KMeans,250,584,584,42459,11308.51,2629.48,5496.978,1206.581,3285.888,1187.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,20,KMeans,278,637,637,56521,12649.04,2881.698,6200.689,1302.321,3638.932,1372.642,14,126,126,154583,1607.255,1125.74,361.3256,94.36026,1104.479,1015.668,0,0,0,0,0,0,0,0,0,0,8,67,67,772040,3922.804,3727.825,146.6819,54.16003,3695.771,3662.016
100,25,KMeans,91,149,149,11247,3562.885,818.0856,1433.598,258.08,1209.851,388.7003,7,25,25,2414,345.6266,126.3416,132.9618,31.73998,141.9219,84.14066,0,0,0,0,0,0,0,0,0,0,2,6,6,450,1032.153,50.04076,9.099993,7.659994,1002.964,22.30013
150,25,KMeans,126,226,226,15304,5350.552,1065.587,2432.534,459.4202,1644.494,464.6402,2,4,4,2175,101.4019,67.36116,20.94017,8.539993,60.261,48.68073,0,0,0,0,0,0,0,0,0,0,22,206,206,4615639,11621.77,10506.99,418.1455,155.8003,10982.25,10321.27
200,25,KMeans,188,380,380,28536,7869.414,1695.328,3569.968,723.6197,2399.841,770.0999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,132,132,2754837,6197.189,5961.41,158.5014,67.52003,5917.974,5861.241
250,25,KMeans,234,454,454,35601,9969.134,2114.773,4537.783,847.5598,3066.065,1043.56,5,14,14,730,263.7646,48.00034,116.4217,22.87999,96.76126,24.99998,0,0,0,0,0,0,0,0,0,0,11,50,50,1287173,6214.417,5910.52,177.962,50.12004,5925.661,5841.339
300,25,KMeans,287,694,694,68713,12029.3,3146.724,5380.493,1210.76,3748.193,1556.982,9,117,117,254697,1133.968,919.051,170.5022,66.82025,872.5521,826.2071,0,0,0,0,0,0,0,0,0,0,4,57,57,395323,2080.645,1958.959,85.6812,28.54015,1954.72,1928.03
