TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,91,204,204,16699,5580.536,1357.135,1935.907,360.16,1202.99,419.7201,4,23,23,76532,566.5104,405.4785,86.14121,24.76,371.2947,347.3955,0,0,0,0,0,0,0,0,0,0,5,35,35,517840,2649.633,2440.151,106.5415,28.08002,2458.573,2412.077
150,20,KMeans,147,408,408,28033,8800.849,2469.649,3014.922,688.461,1914.396,717.8406,3,18,18,3810,355.1237,83.48134,200.6372,9.819993,72.04108,45.50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,20,KMeans,200,562,562,40485,12450.9,3172.837,4529.827,997.5802,2651.663,976.4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,237,666,666,55270,14394.72,4333.515,4855.808,1251.12,3104.526,1343.242,12,65,65,12798,879.1567,573.61,183.1021,79.84006,372.1462,310.3448,0,0,0,0,0,0,0,0,0,0,1,3,3,1553,279.2051,45.84086,1.819999,1.819999,260.7952,27.42044
300,20,KMeans,300,908,908,58759,18991.72,5443.369,6884.72,1759.261,4117.678,1657.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,25,KMeans,98,206,206,16878,5499.657,1445.417,1614.701,280.4998,1298.671,462.1606,2,6,6,824,120.0219,56.38091,22.20018,7.079995,36.56046,22.72014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,25,KMeans,147,399,399,26400,8718.878,2513.112,2911.301,618.4404,1930.597,713.7405,1,4,4,4899,93.33635,88.93709,5.639996,3.599997,61.40121,59.04116,0,0,0,0,0,0,0,0,0,0,2,7,7,54676,1078.568,1049.559,11.19999,5.659996,1033.605,1024.336
200,25,KMeans,198,485,485,33888,11662.93,3119.035,3794.172,823.6401,2555.241,976.2602,2,7,7,802,146.6594,36.28045,53.32084,4.599997,34.2204,16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,25,KMeans,250,656,656,46870,14714.48,3926.744,4720.761,1130.34,3309.548,1259.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,25,KMeans,295,779,779,55583,17582.71,4744.816,6080.687,1435.16,3832.475,1552.061,0,0,0,0,0,0,0,0,0,0,2,3,3,327,38.04049,15.78007,11.51999,3.799998,15.08,9.939992,0,0,0,0,0,0,0,0,0,0
100,30,KMeans,100,186,186,12031,5584.479,1431.957,1680.201,322.3601,1300.211,419.5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,30,KMeans,146,335,335,24372,8410.345,2484.211,2524.193,496.22,1917.096,682.3404,3,10,10,1939,173.3629,108.6419,25.32027,8.439994,54.56068,44.10045,0,0,0,0,0,0,0,0,0,0,1,5,5,3678,594.6978,82.99809,41.80077,2.439998,533.6182,80.55849
200,30,KMeans,200,466,466,33398,11275.83,3356.843,3422.084,887.2803,2596.261,999.7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,30,KMeans,250,654,654,46136,14690.21,4097.87,4879.046,1195.74,3278.329,1284.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,30,KMeans,294,720,720,53500,16866.56,5011.022,5055.844,1389.38,3863.534,1578.661,5,23,23,4266,273.3248,176.8031,52.1404,20.39998,98.3613,80.14088,0,0,0,0,0,0,0,0,0,0,1,7,7,4849,433.3604,95.31602,23.44035,4.119997,395.0215,91.19671
100,35,KMeans,100,170,170,11401,5395.518,1221.253,1458.078,277.7,1289.291,361.0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,35,KMeans,149,335,335,23173,8052.741,2355.828,2147.663,471.7999,1965.577,677.2604,1,3,3,331,53.32103,22.02031,8.440003,2.019999,17.52021,8.119996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,35,KMeans,191,499,499,36057,11122.75,3553.028,3232.12,812.9207,2808.568,1058.742,1,4,4,513,53.32103,47.5809,5.919995,3.819997,17.86022,14.22014,0,0,0,0,0,0,0,0,0,0,8,57,57,1282432,4234.699,3953.089,136.0216,41.07997,3949.712,3898.122
250,35,KMeans,244,638,638,42715,13540.45,4398.739,3858.985,1055.12,3180.627,1287.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,30,737233,3294.618,3127.94,58.52026,21.53999,3137.825,3090.332
300,35,KMeans,283,792,792,55865,16345.37,5201.747,4941.702,1378.101,3718.591,1526.981,6,16,16,1592,348.4464,122.2218,83.5608,15.83999,106.6613,39.82014,0,0,0,0,0,0,0,0,0,0,11,110,110,2119018,5494.202,5214.437,175.8019,78.94005,5134.227,5085.073
100,40,KMeans,100,170,170,12757,5045.47,1519.52,1069.411,207.1798,1273.51,409.9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,40,KMeans,136,290,290,20342,7436.443,2079.205,2027.203,448.68,1800.456,605.4401,3,4,4,1401,210.9199,49.78057,55.16069,6.039996,65.84093,30.14016,0,0,0,0,0,0,0,0,0,0,11,60,60,1364869,5990.064,5249.454,102.3807,31.23998,5697.022,5135.69
200,40,KMeans,182,414,414,27270,9779.8,3157.942,2523.707,689.7398,2400.46,943.8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,176,176,3280123,8921.944,8510.602,220.162,87.71994,8406.271,8310.513
250,40,KMeans,250,616,616,40462,13741.68,4468.015,3748.104,994.8798,3259.168,1294.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,40,KMeans,300,785,785,52115,16138.42,5596.515,4171.164,1197.18,3932.293,1640.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,20,KMeans,93,200,200,14509,5777.211,1204.552,2049.869,319.4399,1224.85,388.1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,42,986186,3732.492,3481.381,137.3419,35.26,3479.11,3426.888
150,20,KMeans,141,350,350,24741,8625.115,2064.863,3027.745,617.1801,1860.736,652.5202,1,4,4,397,92.55648,24.74038,33.92059,0,33.08057,14.12013,0,0,0,0,0,0,0,0,0,0,8,60,60,1232297,4025.966,3860.504,115.7413,54.22001,3774.299,3743.176
200,20,KMeans,200,526,526,36724,12498.84,3105.196,4486.045,951.7607,2652.024,1024.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,241,660,660,66353,15133.09,3962.926,5425.223,1196.84,3221.309,1351.382,5,41,41,54713,559.9357,384.7878,102.6414,41.20008,325.8959,292.457,0,0,0,0,0,0,0,0,0,0,4,35,35,280389,1972.747,1829.626,81.0811,24.22001,1832.546,1805.188
300,20,KMeans,264,739,739,51402,16834.17,4247.588,6277.944,1320.961,3457.689,1397.161,14,260,260,1243691,3512.698,2919.817,445.0875,111.8403,2707.672,2640.851,3,5,5,361,80.02126,39.16039,25.48013,7.779995,21.72007,12.65999,9,170,170,1182142,2739.794,2468.21,180.9426,64.12014,2416.844,2377.975
