TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,97,140,140,9303,4333.535,673.6033,2128.972,318.9002,1224.31,278.34,2,4,4,200,112.5222,16.32,39.08051,4.279997,53.22084,11.91999,0,0,0,0,0,0,0,0,0,0,1,2,2,34,568.7325,6.559995,18.20023,4.179997,540.4649,2.379998
150,20,KMeans,150,318,318,20626,6547.353,1411.089,3050.442,566.7006,1981.277,666.9002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,20,KMeans,196,448,448,29787,8670.845,1998.934,4134.638,937.6609,2555.583,850.7405,1,3,3,2584,76.09924,34.98061,16.44019,2.339998,49.56094,32.58055,0,0,0,0,0,0,0,0,0,0,3,9,9,162457,1707.198,1655.989,23.66006,9.079993,1653.326,1635.368
250,20,KMeans,225,499,499,35445,10421.69,2154.073,5205.979,947.9001,2941.605,1042.12,4,25,25,12985,295.7378,94.82141,139.7824,26.21998,115.5219,63.6007,0,0,0,0,0,0,0,0,0,0,21,166,166,3221792,10816.28,10207.17,418.8256,122,10186.41,10050.67
300,20,KMeans,284,658,658,47813,12828.36,2992.801,6270.351,1449.262,3687.87,1299.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,240,240,4349785,7776.651,7431.174,281.4835,123.2804,7334.325,7269.06
100,25,KMeans,90,162,162,9236,3673.165,723.2442,1601.481,283.6,1161.849,331.92,6,15,15,1565,312.166,72.38058,126.6418,26.57998,124.8017,45.50014,0,0,0,0,0,0,0,0,0,0,4,11,11,54247,2213.57,1123.036,33.30024,18.75998,2140.038,1089.803
150,25,KMeans,150,314,314,22870,6241.411,1377.349,2758.416,543.0201,1966.957,662.8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,25,KMeans,190,377,377,29741,8231.314,1742.451,3828.853,705.8801,2482.601,865.5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,90,1872365,5315.178,5100.058,138.3414,55.15999,5076.206,5022.628
250,25,KMeans,225,466,466,34148,9294.125,2163.055,4095.875,868.5604,2924.144,1030.121,1,15,15,187589,348.7669,322.6412,22.34032,11.06006,316.3247,311.5273,0,0,0,0,0,0,0,0,0,0,24,297,297,5576098,12148.16,11463.59,487.3067,151.6201,11419.51,11274.19
300,25,KMeans,300,694,694,51852,12961.58,3183.884,6050.324,1410.502,3879.631,1422.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
