TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
75,15,KMeans,75,142,142,10425,3318.687,637.4044,1595.181,280.1604,963.3879,282.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,15,KMeans,150,334,334,24647,7333.628,1426.369,3847.92,669.7608,1965.756,641.6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,15,KMeans,225,558,558,40775,10930.37,2388.556,5715.281,1189.36,2935.246,1032.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,15,KMeans,299,704,704,51954,15096.12,3091.842,8160.429,1520.621,3907.655,1373.581,0,0,0,0,0,0,0,0,0,0,1,2,2,102,28.34046,15.40016,5.979995,1.819999,12.30009,6.279995,0,0,0,0,0,0,0,0,0,0
75,20,KMeans,72,110,110,8821,3336.507,491.8824,1677.322,221.6002,930.8477,225.2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,165206,1750.421,1697.309,20.08003,4.359997,1700.112,1680.072
150,20,KMeans,127,252,252,18844,5815.331,1103.446,2878.263,441.3198,1653.194,545.8,11,71,71,352489,1147.215,889.7558,183.4823,71.62014,852.5536,786.2292,0,0,0,0,0,0,0,0,0,0,12,145,145,2528723,5981.586,5183.641,259.604,62.64,5601.25,5090.89
225,20,KMeans,218,448,448,30570,9564.951,2004.312,4554.164,937.8601,2807.763,895.2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,42,1052637,3874.549,3710.591,111.7013,41.60007,3692.369,3652.597
300,20,KMeans,300,646,646,46363,13607.01,2892.198,6616.074,1226.1,3959.096,1384.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,KMeans,75,108,108,6802,2814.104,616.9844,1080.113,179.98,976.368,306.4203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,25,KMeans,150,330,330,21536,6541.229,1499.61,3098.365,710.5009,1927.255,645.9799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,25,KMeans,225,482,482,34698,9629.706,2129.053,4402.799,883.5402,2953.686,1021.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,25,KMeans,259,612,612,50656,11497.09,2641.719,5541.557,1261.782,3337.409,1174.261,10,116,116,226792,1246.263,976.9899,168.822,54.01996,976.4294,916.8965,0,0,0,0,0,0,0,0,0,0,31,706,706,7890752,12895.84,12004.34,666.8094,216.4602,11917.74,11752.8
75,30,KMeans,72,78,78,7528,2640.227,406.9422,1002.152,136.58,910.5472,195.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,162804,1751.322,1664.116,37.72029,7.959994,1683.375,1655.728
150,30,KMeans,150,253,253,18145,6041.108,1170.586,2592.492,479.7798,1932.496,543.9601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,30,KMeans,217,441,441,30120,8775.357,2009.153,3769.886,797.5003,2812.344,958.1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,57,1397337,4371.918,4259.048,71.70047,35.21997,4219.717,4182.121
300,30,KMeans,283,614,614,45224,11361.51,2791.479,4791.917,1064.86,3708.352,1376.061,6,94,94,398329,1156.426,975.5876,123.3017,37.90005,972.4668,936.6392,0,0,0,0,0,0,0,0,0,0,11,174,174,2293377,4933.485,4744.314,141.7014,66.59996,4681.305,4635.482
75,15,Random,70,312,312,23137,9211.729,1861.706,7593.784,1494.942,911.1877,256.7401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,40,398783,2842.321,2183.792,651.8524,77.5611,2140.197,2099.919
150,15,Random,150,1825,1825,192642,22177.36,9568.037,18668.47,8158.7,1989.518,1091.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,15,Random,225,3506,3506,274103,32707.93,14093.25,27468.77,12091.12,2958.426,1430.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,15,Random,300,6299,6299,452055,44964.33,22342.75,37981.55,19563.32,3941.374,2056.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,20,Random,57,146,146,10423,6313.053,877.6713,5000.933,691.2282,735.306,118.8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,157322,1752.242,1628.221,99.86171,22.86011,1622.115,1595.389
150,20,Random,140,1307,1307,135660,20084.32,7395.147,16850.26,6334.748,1816.115,777.4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,20,Random,220,3862,3862,332946,32172.54,15555.31,27061.26,13284.63,2880.687,1563.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,20,Random,300,7487,7487,577114,43568.57,23737.02,36578.75,20309.19,3946.516,2395.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,Random,75,246,246,18285,8717.308,1447.715,6999.442,1174.514,958.3679,181.1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,25,Random,144,1192,1192,111299,20434.12,7326.319,17094.02,6086.445,1880.616,814.3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,71,651434,3370.434,2881.768,529.4577,161.7026,2780.483,2715.779
225,25,Random,225,3744,3744,353398,32588.21,17085.14,27377.38,14574.34,2924.546,1644.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
