TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,94,230,230,14827,5682.16,1451.216,1939.727,350.12,1226.55,421.2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,30,747720,3342.191,3133.83,112.8215,27.45998,3132.172,3093.941
150,20,KMeans,137,370,370,27069,8454.949,2210.485,2961.961,552.0401,1828.396,711.7203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,112,2276173,6739.171,6318.3,205.6625,54.31996,6317.151,6216.158
200,20,KMeans,197,531,531,35722,12116.81,3363.542,4371.364,970.2205,2560.862,1025.061,3,9,9,1434,194.8006,80.16126,62.00087,13.39999,51.54061,37.78029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,213,594,594,40042,12995.07,3616.885,4549.765,1102.84,2780.004,1121.341,10,71,71,55767,898.1591,513.7795,220.1832,48.39996,410.8193,351.2997,0,0,0,0,0,0,0,0,0,0,27,543,543,5793475,10893.48,9844.233,757.7123,224.8208,9686.623,9538.28
300,20,KMeans,269,765,765,54280,16882.88,4544.333,6210.292,1301.56,3541.131,1472.621,29,258,258,183655,3268.49,1941.921,716.351,166.9199,1898.735,1564.402,0,0,0,0,0,0,0,0,0,0,2,11,11,9976,192.9516,189.0123,13.38,13.38,158.1775,158.1775
100,25,KMeans,94,230,230,18092,5084.031,1686.062,1352.216,345.82,1242.691,484.6805,3,12,12,2753,190.9812,91.98154,47.52058,10.03999,66.64095,46.98051,0,0,0,0,0,0,0,0,0,0,3,6,6,157382,1738.149,1600.254,62.98087,5.539997,1622.796,1594.709
150,25,KMeans,142,342,342,25328,8293.113,2127.144,2708.176,554.3799,1847.776,614.84,3,14,14,19116,323.9852,191.0386,60.50088,5.399996,180.177,150.121,0,0,0,0,0,0,0,0,0,0,5,30,30,486000,2613.297,2487.098,69.22079,25.30004,2464.721,2437.8
200,25,KMeans,198,530,530,37797,11572.42,3155.536,3874.294,880.6005,2605.182,1013.201,2,8,8,1727,192.4317,45.48066,98.46187,6.379995,37.46048,20.10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,25,KMeans,206,520,520,38683,12091.97,3411.721,3944.454,949.4806,2646.563,1027.101,4,75,75,351866,967.9816,783.3586,132.4823,31.72006,737.2902,715.7856,7,174,174,283260,619.9907,475.2475,78.46055,50,442.7088,414.6084,30,647,647,6159665,12373.3,11352.89,618.7288,193.6201,11256.08,11091.23
300,25,KMeans,288,782,782,54406,17406.53,4880.698,5868.78,1471.98,3769.192,1519.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,134,134,2468758,6480.401,5526.721,225.7629,74.62008,6055.381,5429.706
