TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_Encounters,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_Encounters,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_Encounters,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_Encounters,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity
100,20,KMeans,90,212,212,15097,5295.516,1504.019,1769.064,335.4199,1181.81,416.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,90,1923166,5155.053,4791.583,195.8226,56.85995,4794.726,4728.615
150,20,KMeans,149,370,370,25727,8850.172,2414.408,3139.865,628.7606,1953.296,737.2007,1,4,4,498,66.66083,26.56042,17.32021,4.679996,18.34023,9.340024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,20,KMeans,197,560,560,39621,11876.95,3553.686,4062.199,952.8802,2598.523,1110.181,3,14,14,2150,218.2187,78.24122,72.58109,12.81999,64.1409,41.16037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,KMeans,239,703,703,51138,14761.21,4386.177,5088.492,1256.201,3174.588,1348.401,5,25,25,69105,613.4645,358.65,141.2423,16.35999,347.7501,298.4442,0,0,0,0,0,0,0,0,0,0,6,42,42,752557,3133.578,3001.299,76.0609,19.59999,2954.726,2930.272
300,20,KMeans,300,872,872,56839,18363.09,5035.759,6609.516,1680.102,3993.278,1605.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,25,KMeans,89,211,211,16808,5165.917,1550.26,1625.341,299.5401,1209.131,460.841,6,25,25,6861,455.6157,226.9641,122.0217,31.81998,171.5228,124.8617,0,0,0,0,0,0,0,0,0,0,5,16,16,315612,2778.576,2276.2,28.29999,16.57999,2669.104,2202.61
150,25,KMeans,134,338,338,26336,7907.227,2351.91,2567.214,579.5207,1741.315,704.9005,2,16,16,53584,324.9158,271.2459,30.88033,15.56003,241.3871,230.9259,0,0,0,0,0,0,0,0,0,0,14,98,98,1975565,7348.4,6932.238,228.8428,71.55998,6891.412,6804.179
200,25,KMeans,185,516,516,37357,10854.45,3187.34,3427.566,836.7005,2501.543,971.7805,2,11,11,26597,253.2426,159.6129,44.38063,6.319995,149.7118,132.0712,0,0,0,0,0,0,0,0,0,0,13,85,85,1803049,6970.726,6613.865,181.702,60.99998,6578.377,6493.903
250,25,KMeans,219,629,629,46370,13047.09,3997.632,4176.997,1010.52,2945.768,1250.842,9,116,116,596870,1780.355,1411.036,215.8232,42.64001,1321.975,1257.601,0,0,0,0,0,0,0,0,0,0,22,411,411,3539839,8296.22,7703.119,366.5045,132.28,7547.022,7455.89
300,25,KMeans,300,860,860,61842,17642.27,5361.185,6001.225,1486.621,3923.136,1679.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
