TotalTrucks,TotalDrones,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity,SuccessfulNoBottlenecks_AverageUniqueDroneEncounter,SuccessfulNoBottlenecks_AverageAvoidanceManeuvers,SuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,SuccessfulNoBottlenecks_PercentageTimeVerticalProximity,SuccessfulBottlenecks_AverageUniqueDroneEncounter,SuccessfulBottlenecks_AverageAvoidanceManeuvers,SuccessfulBottlenecks_PercentageTimeHorizontalProximity,SuccessfulBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulNoBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulNoBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulNoBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulBottlenecks_PercentageTimeVerticalProximity,SuccessfulNoBottlenecks_Percentage,SuccessfulBottlenecks_Percentage,UnsuccessfulNoBottlenecks_Percentage,UnsuccessfulBottlenecks_Percentage
30,250,KMeans,241.29333333333332,638.24,44820.89333333333,13693.181466666667,4153.618226666667,4268.81504,1105.6698466666667,3170.7159866666666,1268.1516266666667,3.3066666666666666,22.493333333333332,54390.16,384.3923384,275.50996906666666,56.32948993333333,16.707471679999998,239.9279128,216.77952009333333,0.04,0.49333333333333335,6326.2,15.650312000000001,15.424003999999998,0.2765341733333333,0.24426708,14.709028000000002,14.663985333333333,5.36,49.053333333333335,839904.6266666667,2668.2779293333333,2490.9543504000003,78.58782153333334,26.90640137333333,2500.494756,2435.339127333333,2.645415836141365,185.8148968024687,8.072485458668098,39.99533218203208,5.434057720057719,9935.131930508089,5.800960284459531,75.02506351006883,12.333333333333334,158155.0,1.5316799733232365,99.71111611556164,7.78973310011139,128875.6817813114,0.934704512349175,94.06322748356365,96.51733333333334,1.3226666666666667,0.016000000000000004,2.144
30,250,Random,243.01333333333332,5094.573333333334,373147.5466666667,38546.5944,20260.768666666667,28793.760666666665,14722.621066666668,3278.1342,2023.2467066666666,4.386666666666667,92.30666666666667,21493.946666666667,735.6012337333334,421.94061626666667,476.3781698666666,242.43839559999998,143.07869159999998,117.38990432000001,0.013333333333333334,0.22666666666666666,1237.08,7.971745333333334,4.730714666666667,3.4852653333333334,0.6378786666666666,4.221394666666667,4.093197333333333,2.5866666666666664,63.50666666666667,312478.56,1365.3915853333333,1175.2103866666666,291.0197933333333,151.19253293333333,1031.4613706666667,1007.3428246666666,20.959568861556427,1535.158704903052,38.173467599051754,61.709348251799156,20.426138706494744,3945.2118217300413,32.86943091693738,77.27402768290848,17.0,92781.0,8.001744160082719,96.96315214624171,23.935138834595353,105397.2303263162,11.062778308824006,94.60181862015125,97.20533333333333,1.7546666666666666,0.005333333333333334,1.0346666666666666
30,300,KMeans,291.1333333333333,780.8266666666667,54727.52,16568.095999999998,5013.452333333334,5204.754146666666,1377.4983599999998,3830.509773333333,1561.0233733333332,2.7466666666666666,18.893333333333334,46747.85333333333,301.6844264,212.40350986666667,47.933932,15.594944826666666,181.31781106666668,161.89882724,0.09333333333333334,1.08,7217.213333333333,13.333762266666666,11.8292796,0.7925387333333334,0.3415998,11.119551933333332,10.831257266666666,5.96,66.98666666666666,1054077.2933333332,2848.1375866666667,2665.1537254666664,90.64718253333334,32.397079061333336,2658.1612760000003,2601.930520186667,2.6830489964424182,188.07765116975176,8.314823809668097,40.763140787892745,5.670603118109512,13866.287538601637,6.073348720332077,72.78910625242433,11.625,78522.0625,3.6786930167688343,98.8019659148634,9.488819903762012,148082.30913785732,1.0964075621121672,89.72363206754063,97.04444444444444,0.9155555555555556,0.031111111111111114,1.9866666666666666
30,300,Random,292.24,7717.666666666667,532374.3466666667,46971.04733333333,26595.685733333332,35197.284133333334,19553.862133333332,3963.64332,2588.6316,4.64,128.08,38521.306666666664,832.5502898666666,512.0860521333333,527.8810113333334,281.8475704,180.59309253333333,157.25389965333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,103.46666666666667,409807.04,1591.8756133333334,1384.7645733333331,355.90995333333336,205.93267866666667,1184.1974666666667,1159.96488,26.408416003302197,1821.2238989906762,41.61221835617713,65.30236966507393,28.136113886113886,6019.561379361379,37.64505348426255,79.99180878739341,,,,,34.676728156791086,125517.21563621987,13.274746330857525,97.83722429467105,97.41333333333333,1.5466666666666669,0.0,1.04
35,100,KMeans,96.65333333333334,170.82666666666665,11873.92,4993.051186666667,1344.45536,1310.470936,236.91913466666665,1254.6768933333333,386.15097066666664,0.96,2.6533333333333333,992.6133333333333,68.94862613333333,28.729807733333335,16.908483733333334,2.9109318266666664,26.62016026666667,16.55598828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,7.213333333333333,166570.97333333333,1358.019188,1190.1977696000001,28.73680714666667,6.802395345333333,1289.7433453333333,1171.8967757866667,1.7680478123021135,122.91646502684856,4.746791973462991,30.78138028996223,2.4867243867243864,1266.2251082251082,4.116377709113559,54.688179940582,,,,,2.5441710758377423,53542.99548500882,0.46965423098046993,81.57897865326649,96.65333333333334,0.96,0.0,2.4
35,100,Random,98.28,505.8,34902.13333333333,13548.378533333334,3102.9506,9770.76572,2108.7128666666667,1279.9059733333333,368.019856,0.6,3.1733333333333333,499.93333333333334,75.0535384,21.218630533333336,44.64407933333333,9.579317653333334,13.804457866666668,7.47633488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,7.68,48517.77333333333,645.2450613333333,514.6686077333333,97.04743888,22.872201746666665,529.2414413333333,487.5739724,5.149423089925624,355.5430858398664,15.521213902577893,28.760016013651402,5.419753086419753,871.4629629629629,13.374773714126317,56.830520612249934,,,,,6.298214285714286,34323.972916666666,3.385791557668412,85.99209866358339,98.28,0.6,0.0,1.12
35,150,KMeans,143.94666666666666,321.1066666666667,22564.533333333333,7735.969493333334,2383.2099200000002,2143.0080933333334,478.98606,1883.2763466666665,691.0012733333334,2.2133333333333334,9.48,10106.546666666667,190.0983228,116.7119428,32.42382868,9.585597706666668,97.5865492,77.71550242666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,20.586666666666666,410071.14666666667,2070.892885333333,1883.8248078666666,48.73434468,15.917062626666667,1959.7666399999998,1847.6291701333334,2.2310974378956896,156.82529639283902,6.189326620282098,36.720549978507975,3.767341185945837,3220.7041477901944,5.414157792913823,67.26417122762899,,,,,4.247679152998302,79348.04066158428,0.7001872237375651,87.4660123464425,95.96444444444445,1.4755555555555555,0.0,2.56
35,150,Random,146.65333333333334,1332.0533333333333,99273.37333333334,21650.058266666667,7598.095080000001,15901.608533333336,5310.185133333333,1930.2004266666668,830.3916746666666,1.52,13.173333333333334,2218.32,211.32706386666666,80.12726466666668,132.32377286666667,39.13945510666667,38.253186533333334,26.254056293333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8266666666666667,20.093333333333334,114530.29333333333,1036.5170226666667,856.4366161333332,188.31240533333334,61.297900266666666,817.5470573333333,788.8581589333332,9.081731440447141,676.5754957334132,24.496804004145897,43.01702489613906,8.377229437229436,1244.5381168831168,18.823641301967886,62.898064688693836,,,,,10.275481859410432,55842.15724206349,5.767912027307368,91.55811569484571,97.7688888888889,1.0133333333333334,0.0,1.2177777777777778
35,200,KMeans,191.96,475.96,33044.653333333335,10556.09248,3363.60772,3033.6518266666667,760.202716,2521.619146666667,997.0360640000001,1.7733333333333334,8.533333333333333,26431.173333333332,197.98609906666667,136.1167676,28.193936866666668,6.635463106666667,123.07253893333332,108.14279053333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.266666666666667,41.906666666666666,855652.96,3314.067425333333,3111.2448112,87.24513865333333,29.490398106666664,3122.6661453333336,3046.7111931199997,2.4792006003438813,172.12316387471765,7.198361964625219,39.537361751619734,4.509669582118562,13888.74339164237,4.757294190525699,72.55686131517152,,,,,5.728867746233685,116229.62121198756,0.8303741862777114,94.24301063542995,95.98,0.8866666666666667,0.0,3.1333333333333333
35,200,Random,195.68,2703.36,204038.69333333333,30050.9192,13408.461066666667,22291.519066666664,9572.823293333333,2598.41428,1389.30864,2.0,26.786666666666665,7185.4,313.41664373333333,162.12955666666667,194.12658279733333,83.73710973333333,65.244698,52.95753745333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,37.2,198154.76,1285.1115133333335,1083.303704,247.91615333333334,103.70235013333334,998.621916,967.9508093333334,13.815761093126035,1042.6780540514926,31.840435757151717,53.465407047781596,13.734636118598383,3522.975022461815,27.891614374819152,74.30040090260978,,,,,16.198460798460797,77284.02003126503,8.844181328607242,95.25496997369041,97.84,1.0,0.0,1.16
