,TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity,SuccessfulNoBottlenecks_AverageUniqueDroneEncounter,SuccessfulNoBottlenecks_AverageAvoidanceManeuvers,SuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,SuccessfulNoBottlenecks_PercentageTimeVerticalProximity,SuccessfulBottlenecks_AverageUniqueDroneEncounter,SuccessfulBottlenecks_AverageAvoidanceManeuvers,SuccessfulBottlenecks_PercentageTimeHorizontalProximity,SuccessfulBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulNoBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulNoBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulNoBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulBottlenecks_PercentageTimeVerticalProximity,SuccessfulNoBottlenecks_Percentage,SuccessfulBottlenecks_Percentage,UnsuccessfulNoBottlenecks_Percentage,UnsuccessfulBottlenecks_Percentage
3706,150,25,Random,150,1489,104447,21599.47,7673.441,15669.59,5012.81,2002.497,984.2217,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.926666666666666,696.3133333333334,23.208023159827533,49.14972157261659,,,,,,,,,,,,,100.0,0.0,0.0,0.0
3707,200,25,Random,198,3131,255758,31201.97,14046.37,23260.01,9876.288,2703.224,1462.324,2,31,4003,281.2299,130.362,187.5793,60.06099,42.9606,34.66041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.813131313131313,1291.7070707070707,31.65277064236649,54.095554049534925,15.5,2001.5,21.356544947745597,80.67952961550816,,,,,,,,,99.0,1.0,0.0,0.0
3708,250,25,Random,250,4861,327322,39473.04,19134.47,29436.76,13853.13,3363.03,1885.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.444,1309.288,35.09516875315405,56.0513584475904,,,,,,,,,,,,,100.0,0.0,0.0,0.0
3709,300,25,Random,298,8181,538668,48715.71,27418.59,36655.39,20199.84,4060.338,2723.77,2,36,6155,206.6693,148.7391,116.4621,65.30112,43.26061,38.6805,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.453020134228186,1807.6107382550335,41.46473488737001,67.08234634653569,18.0,3077.5,31.596913523198655,89.41274753176158,,,,,,,,,99.33333333333333,0.6666666666666667,0.0,0.0
3710,100,30,Random,100,532,43068,13390.35,3564.444,9561.219,2403.213,1300.431,424.5203,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,430.68,17.947350143946945,32.64458475689983,,,,,,,,,,,,,100.0,0.0,0.0,0.0
3711,150,30,Random,148,1451,106633,21426.18,7893.697,15520.64,5548.888,1958.477,843.4014,2,13,16569,668.2698,369.8454,312.7732,65.42115,322.7353,303.6712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.804054054054054,720.4932432432432,25.897700850081534,43.06414627284364,6.5,8284.5,9.789631373436297,94.09296101170216,,,,,,,,,98.66666666666667,1.3333333333333335,0.0,0.0
3712,200,30,Random,188,2366,168868,29407.48,11846.65,21819.06,8253.898,2495.842,1205.302,5,52,10265,659.9459,368.4732,356.767,151.5016,151.5425,122.1218,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,119,793086,3778.753,3153.796,861.6335,366.19,2805.808,2748.479,12.585106382978724,898.2340425531914,28.067342050389897,48.292399919546185,10.4,2053.0,22.956669630040885,80.58584225547288,,,,,17.0,113298.0,9.690763063899652,97.95677394889456,94.0,2.5,0.0,3.5000000000000004
3713,250,30,Random,241,5250,378767,38145.96,19980.16,28545.78,14772.46,3188.648,1905.725,9,223,23445,1511.635,941.1589,1100.18,697.2343,165.3421,118.681,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.78423236514523,1571.6473029045644,38.726145573476195,59.76592587203102,24.77777777777778,2605.0,46.1245141849719,71.77905687662125,,,,,,,,,96.39999999999999,3.5999999999999996,0.0,0.0
3714,300,30,Random,298,9118,626039,48338.44,29574.56,36313.66,22044.78,4049.578,2871.733,2,65,3976,373.3461,222.9866,286.5276,155.5775,33.50039,24.78019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.59731543624161,2100.8020134228186,45.60507124350723,70.91437675728187,32.5,1988.0,41.6711196393909,73.9698552763117,,,,,,,,,99.33333333333333,0.6666666666666667,0.0,0.0
3715,100,35,Random,97,469,24169,13370.02,2517.789,9588.695,1670.922,1255.25,329.9801,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,137017,1734.725,1437.126,289.5275,53.0407,1395.808,1378.118,4.835051546391752,249.16494845360825,12.497528051566116,26.28799840669189,,,,,,,,,6.333333333333333,45672.333333333336,3.0575854962602143,98.73263371466562,97.0,0.0,0.0,3.0
